Дата_продажи,Артикул,Наименование_товара,Категория,Количество,Единица_измерения,Цена_за_ед_KZT,Сумма_KZT,ID_Клиента,Склад_отгрузки,Остаток_на_конец_дня
2025-09-01,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,184,м,420.0,77280.0,CLNT-1035,Склад Астана (Главный РЦ),5316
2025-09-01,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,207,м,680.0,140760.0,CLNT-1094,Склад Астана (Главный РЦ),8293
2025-09-01,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,303,м,680.0,206040.0,CLNT-1094,Склад Астана (Главный РЦ),7990
2025-09-01,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,133,м,884.63,117655.79,CLNT-1004,Склад Астана (Главный РЦ),2617
2025-09-01,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,71,м,180.0,12780.0,CLNT-1077,Склад Астана (Главный РЦ),4429
2025-09-01,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,71,м,180.0,12780.0,CLNT-1025,Склад Астана (Главный РЦ),4358
2025-09-01,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,127,м,540.0,68580.0,CLNT-1075,Склад Астана (Главный РЦ),3623
2025-09-01,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,96,м,540.0,51840.0,CLNT-1111,Склад Астана (Главный РЦ),3527
2025-09-01,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,50,м,540.0,27000.0,CLNT-1103,Склад Астана (Главный РЦ),3477
2025-09-01,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,88,м,540.0,47520.0,CLNT-1054,Склад Астана (Главный РЦ),3389
2025-09-01,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,28,шт,1150.0,32200.0,CLNT-1027,Склад Астана (Главный РЦ),2097
2025-09-01,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,28,шт,1150.0,32200.0,CLNT-1043,Склад Алматы (Южный РЦ),1502
