Артикул,Наименование_товара,Категория,Поставщик,Срок_поставки_LeadTime_дней,Минимальная_партия_MOQ,Кратность_упаковки_Pack,Базовая_закупочная_цена_KZT,Единица_измерения,Условия_оплаты,Надежность_поставщика
EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,Казэнергокабель,12,500,100,420.0,м,Отсрочка 30 дней,Высокая (98%)
EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,Казэнергокабель,12,500,100,680.0,м,Отсрочка 30 дней,Высокая (98%)
EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,Казэнергокабель,14,200,50,950.0,м,Отсрочка 30 дней,Высокая (98%)
EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,ITK (IEK Group),10,305,305,180.0,м,Отсрочка 30 дней,Высокая (98%)
EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,Казэнергокабель,10,100,100,540.0,м,Отсрочка 30 дней,Высокая (98%)
EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,IEK Kazakhstan,7,50,12,1150.0,шт,Отсрочка 30 дней,Высокая (98%)
EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,IEK Kazakhstan,7,50,12,1150.0,шт,Отсрочка 30 дней,Высокая (98%)
EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,Schneider Electric / Systeme,21,10,6,4600.0,шт,Аванс 50% / 50%,Средняя (90%)
EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,IEK Kazakhstan,7,10,6,4200.0,шт,Отсрочка 30 дней,Высокая (98%)
EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,IEK Kazakhstan,7,12,6,3850.0,шт,Отсрочка 30 дней,Высокая (98%)
EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,Schneider Electric / Systeme,25,2,1,18500.0,шт,Аванс 50% / 50%,Средняя (90%)
EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,Philips Lighting / Signify,18,20,4,5400.0,шт,Отсрочка 30 дней,Средняя (90%)
EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,TDM Electric,14,15,1,4800.0,шт,Отсрочка 30 дней,Средняя (90%)
EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,TDM Electric,14,100,10,420.0,шт,Отсрочка 30 дней,Средняя (90%)
EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,IEK Kazakhstan,10,10,2,6200.0,шт,Отсрочка 30 дней,Высокая (98%)
EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,TDM Electric,14,10,5,3100.0,шт,Отсрочка 30 дней,Средняя (90%)
EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,Schneider Electric / Systeme,15,40,10,1450.0,шт,Аванс 50% / 50%,Средняя (90%)
EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,Schneider Electric / Systeme,15,40,10,1200.0,шт,Аванс 50% / 50%,Средняя (90%)
EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,Schneider Electric / Systeme,15,20,10,850.0,шт,Аванс 50% / 50%,Средняя (90%)
EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,TDM Electric,10,30,10,720.0,шт,Отсрочка 30 дней,Средняя (90%)
EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,Промрукав Казахстан,8,1000,40,160.0,м,Отсрочка 30 дней,Средняя (90%)
EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,Промрукав Казахстан,14,150,3,2850.0,м,Отсрочка 30 дней,Средняя (90%)
EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,Промрукав Казахстан,6,500,100,75.0,м,Отсрочка 30 дней,Средняя (90%)
EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,IEK Kazakhstan,10,5,1,14200.0,шт,Отсрочка 30 дней,Высокая (98%)
EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,Энергомера РК,20,5,1,24500.0,шт,Отсрочка 30 дней,Средняя (90%)
EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,IEK Kazakhstan,7,50,10,480.0,шт,Отсрочка 30 дней,Высокая (98%)
EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,IEK Kazakhstan,7,500,100,110.0,шт,Отсрочка 30 дней,Высокая (98%)
